👍｜4K,#genre#
CCTV5+,http://39.134.67.6:80/wh7f454c46tw2029879648_2093826562/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/15903942991.m3u8
CCTV6,http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://39.134.65.142/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.65.164/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.208/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.67.99/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.65.173/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/1.m3u8
CCTV8,http://39.134.65.177/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.67.99/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.135.55.72:6610/PLTV/88888888/224/3221227233/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV12,http://39.134.65.179/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://183.196.25.171:808/hls/12/index.m3u8
CCTV12,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.142/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.135.55.72:6610/PLTV/88888888/224/3221227237/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV13,http://183.196.25.171:808/hls/13/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/1.m3u8
CCTV14,http://39.134.65.141/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://39.134.65.208/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://183.196.25.171:808/hls/14/index.m3u8
CCTV14,http://39.134.65.142/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14,http://39.134.65.162/PLTV/88888888/224/3221225674/index.m3u8
CCTV16,http://39.134.66.4/PLTV/88888888/224/3221225893/index.m3u8
CCTV16,http://39.135.55.72:6610/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV16,http://39.135.55.72:6610/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV16,http://39.135.55.72:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV17,http://39.134.65.183/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CETV-1,http://111.59.63.32:9901/tsfile/live/1024_1.m3u8

💟｜卫视,#genre#
湖南卫视,http://39.134.65.208/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8
东方卫视,http://39.134.65.208/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://39.134.65.208/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
浙江卫视,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/1.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
江苏卫视,http://39.134.65.208/PLTV/88888888/224/3221225503/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
四川卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东卫视,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8
黑龙江卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000095
吉林卫视,http://183.196.25.171:808/hls/47/index.m3u8
吉林卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1&IASHttpSessionId=OTT
吉林卫视,http://39.134.66.110/PLTV/88888888/224/3221225981/index.m3u8
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://39.134.65.141/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://39.134.65.151/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://39.134.65.145/PLTV/88888888/224/3221225981/1.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
河北卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1&IASHttpSessionId=OTT
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.65.141/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.65.151/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.65.145/PLTV/88888888/224/3221225974/1.m3u8
广西卫视,http://111.59.63.32:9901/tsfile/live/1003_1.m3u8
广西卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西卫视,http://183.196.25.171:808/hls/46/index.m3u8
甘肃卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1&IASHttpSessionId=OTT
安徽卫视,http://39.134.65.141/PLTV/88888888/224/3221225925/1.m3u8
厦门卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT

🇨🇳｜港澳,#genre#
凤凰中文HD8M,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT2728520220517134732169280
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT2805820220429084442034214
凤凰中文,http://39.135.55.72:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT
凤凰资讯HD8M,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT3052920220429084838036207
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8

🇨🇳｜宝岛,#genre#
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

🎞️｜SiTV,#genre#
SiTV金色学堂,http://39.135.55.105:6610/PLTV/88888888/224/3221227208/index.m3u8?servicetype=1
SiTV金色学堂,http://183.251.61.250/PLTV/88888888/224/3221227208/index.m3u8
SiTV全纪实,http://39.135.55.105:6610/PLTV/88888888/224/3221227083/index.m3u8?servicetype=1
SiTV全纪实,http://183.251.61.250/PLTV/88888888/224/3221227083/index.m3u8

🐠｜斗鱼,#genre#
斗鱼电影HD1,http://zzy789.xyz/douyu1.php?id=747764
斗鱼电影HD2,http://zzy789.xyz/douyu1.php?id=6140589
斗鱼电影HD3,http://zzy789.xyz/douyu1.php?id=218859
斗鱼电影HD4,http://zzy789.xyz/douyu1.php?id=252802
斗鱼电影HD5,http://zzy789.xyz/douyu1.php?id=6079455
斗鱼电影HD6,http://zzy789.xyz/douyu1.php?id=8945323
斗鱼电影HD7,http://zzy789.xyz/douyu1.php?id=2516864
斗鱼电影HD8,http://zzy789.xyz/douyu1.php?id=4332
斗鱼电影HD9,http://zzy789.xyz/douyu1.php?id=9651304
斗鱼电影HD10,http://zzy789.xyz/douyu1.php?id=52787
斗鱼电影HD11,http://zzy789.xyz/douyu1.php?id=1226741
斗鱼电影HD12,http://zzy789.xyz/douyu1.php?id=7305938
斗鱼电影4K,http://zzy789.xyz/douyu1.php?id=9249162
斗鱼电视剧HD1,http://zzy789.xyz/douyu1.php?id=2838296
斗鱼电视剧HD2,http://zzy789.xyz/douyu1.php?id=7489563
斗鱼电视剧HD3,http://zzy789.xyz/douyu1.php?id=6566658
斗鱼电视剧HD4,http://zzy789.xyz/douyu1.php?id=431460
斗鱼电视剧HD5,http://zzy789.xyz/douyu1.php?id=8600645
斗鱼电视剧HD6,http://zzy789.xyz/douyu1.php?id=7575350
斗鱼电视剧HD7,http://zzy789.xyz/douyu1.php?id=7644931
斗鱼电视剧HD8,http://zzy789.xyz/douyu1.php?id=9650860
斗鱼电视剧HD9,http://zzy789.xyz/douyu1.php?id=3756989
斗鱼电视剧HD10,http://zzy789.xyz/douyu1.php?id=6706214
斗鱼电视剧1,http://zzy789.xyz/douyu1.php?id=276200
斗鱼电视剧2,http://zzy789.xyz/douyu1.php?id=7254536
斗鱼动漫HD1,http://zzy789.xyz/douyu1.php?id=10394922
斗鱼动漫1,http://zzy789.xyz/douyu1.php?id=7190773
斗鱼搞笑HD1,http://zzy789.xyz/douyu1.php?id=9220456
斗鱼搞笑HD2,http://zzy789.xyz/douyu1.php?id=9770949
斗鱼搞笑HD3,http://zzy789.xyz/douyu1.php?id=9817729
斗鱼影评HD4,http://zzy789.xyz/douyu1.php?id=9559158
斗鱼影评HD5,http://zzy789.xyz/douyu1.php?id=10240495
斗鱼影评HD6,http://zzy789.xyz/douyu1.php?id=8656759
斗鱼影评HD7,http://zzy789.xyz/douyu1.php?id=9419771
斗鱼影评HD8,http://zzy789.xyz/douyu1.php?id=4258555
斗鱼影评HD9,http://zzy789.xyz/douyu1.php?id=8317926
斗鱼影评HD10,http://zzy789.xyz/douyu1.php?id=10317257
斗鱼影评HD11,http://zzy789.xyz/douyu1.php?id=8986636
斗鱼影评HD12,http://zzy789.xyz/douyu1.php?id=9837291
斗鱼影评HD13,http://zzy789.xyz/douyu1.php?id=297689
斗鱼影评HD14,http://zzy789.xyz/douyu1.php?id=8651489
斗鱼搞笑1,http://zzy789.xyz/douyu1.php?id=10378551
斗鱼搞笑2,http://zzy789.xyz/douyu1.php?id=2132902
斗鱼影评1,http://zzy789.xyz/douyu1.php?id=9527700
斗鱼美食HD1,http://zzy789.xyz/douyu1.php?id=8144937
斗鱼科普HD1,http://zzy789.xyz/douyu1.php?id=9317739
斗鱼科普HD2,http://zzy789.xyz/douyu1.php?id=9447974
斗鱼科普HD3,http://zzy789.xyz/douyu1.php?id=9369468
斗鱼科普HD4,http://zzy789.xyz/douyu1.php?id=9738854
斗鱼科普HD5,http://zzy789.xyz/douyu1.php?id=8434598
斗鱼科普HD6,http://zzy789.xyz/douyu1.php?id=7357786
斗鱼棋牌1,http://zzy789.xyz/douyu1.php?id=1227260
斗鱼歌舞HD1,http://zzy789.xyz/douyu1.php?id=6129898
斗鱼歌舞HD2,http://zzy789.xyz/douyu1.php?id=3763915
斗鱼歌舞HD3,http://zzy789.xyz/douyu1.php?id=1607787
斗鱼歌舞1,http://zzy789.xyz/douyu1.php?id=6266000
斗鱼歌舞2,http://zzy789.xyz/douyu1.php?id=5746514

轮播 | 少儿,#genre#
名侦探柯南,http://120.233.184.147/openhls-tct.douyucdn2.cn/dyliveflv3/6484910rfZPC7EGa_2000.m3u8?txSecret=978242624d192a2aca58df40a7249725&txTime=65622473&token=h5-douyu-0-6484910-46336a3d58a7560054ca037070fb83d1&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=367351555&TxLiveCode=hot_stream&TxDispType=2&svr_type=live_oc&tencent_test_client_ip=183.250.93.11&dispatch_from=OC_MGR183.253.58.152&utime=1700925524876
倒霉熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
雲朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
反转星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
狮子王國,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c2e7e767f3144bed959ef20b8b961fe5/850.m3u8
熊大熊二,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1733da751de64e6e910abda889d87a26/1200.m3u8

💥｜新闻,#genre#

🏀｜体育,#genre#
